人 士
人类 生人
人手 人员
劳力 劳动力
匹夫 个人
家伙 东西
者 手
每人 各人
该人 此人
人民 民
群众 大众
良民 顺民
遗民 贱民
众人 人人
人丛 人群
大家 大伙儿
们 辈
妇孺 父老兄弟
党群 干群
我 咱
区区 仆
老朽 老汉
小弟 兄弟
奴 妾
朕 孤
职 卑职
贫道 小道
我们 咱
你 您
老兄 仁兄
老弟 贤弟
大嫂 大姐
阁下 足下
陛下 主公
您老 你咯
你们 尔等
诸位 各位
他 她
他们 她们
自己 自家
别人 旁人
谁 哪个
某人 某
谁 孰
男人 男子
爷儿 爷们
先生 子
女人 女子
女流 女人家
少妇 婆娘
姑娘 少女
仕女 贵妇人
贱人 祸水
村姑 农家女
男女 士女
老人 老
老朽 风中之烛
老寿星 寿星
公公 爷爷
老奶奶 老太婆
老太太 老婆婆
老家伙 老糊涂
成年人 壮年人
老小 老少
遗老 遗少
青年人 青年
知识青年 知青
少年人 少年
芝兰 龙驹
待业青年 务工青年
男孩子 少男
婴儿 婴孩
宝宝 宝贝
女婴 男婴
儿童 孩童
妞 妮子
顽童 小淘气
男童 男孩儿
高个儿 高个子
细高挑儿 长子
矮子 矮个儿
胖子 大块头
瘦子 骨头架子
美女 美人
丑八怪 夜叉
麻子 麻脸
秃子 癞子
豁嘴 豁子
结巴 结子
斜眼 少白头
唐老鸭 灰姑娘
居民 居者
市民 城里人
乡民 乡下人
船民 水上居民
侨民 侨
外侨 华侨
日裔 亚裔
本国人 国人
侨胞 难胞
爱国同胞 爱国主义者
外国人 外侨
洋鬼子 鬼子
西人 意大利人
非洲人 亚洲人
白人 白种人
外族人 外族
瑶民 藏胞
中国人 华人
南京人 益都人
汉人 汉民
本地人 当地人
村里人 全村人
外乡人 异乡人
移民 寓公
同乡 老乡
职工 员工
职员 干部
公务员 勤务员
秘书 文牍
总务 庶务
会计 会计师
掮客 经纪人
从业员 营业员
列车员 乘务员
广播员 播音员
理发员 理发师
空姐 空中小姐
消防人 消防员
承运人 发运人
供给者 供应者
编选者 编委
勘察者 勘探者
科员 雇员
内勤 外勤
售票员 收发员
制片人 拍片人
宣传工作者 传播者
监票人 监督者
工人 工
工匠 匠人
老师傅 师傅
壮工 小工
短工 零工
苦工 苦力
学徒工 徒工
木工 木匠
瓦工 泥工
石工 石匠
油漆工 漆工
花匠 园丁
画匠 画工
成衣匠 裁缝
鞋匠 皮匠
铁工 铁匠
产业工人 农业工人
机工 铣工
矿工 河工
篾匠 铜匠
工程建设者 社会主义建设者
海员 船员
领航员 引水员
船夫 船工
舵手 掌舵
驾驶员 司机
飞行员 航空员
宇航员 航天员
驭手 御手
操作员 操纵员
骑车人 推车人
搬运工 挑夫
炊事员 厨师
火夫 司炉
邮递员 邮差
交通员 交通
联络员 联络官
门房 号房
服务员 招待员
堂倌 酒家
清洁工 清道夫
勤杂工 工友
农民 农夫
小农 老农
佃农 佃户
上中农 富裕中农
菜农 棉农
雇农 贫农
自耕农 半自耕农
牧民 牧人
渔民 渔翁
猎手 猎人
樵夫 樵
饲养员 倌
羊倌 羊工
放牛郎 牛郎
马夫 马倌
屠夫 屠户
商人 商贩
商旅 行商
小贩 摊贩
客帮 客商
卖家 卖方
外商 官商
粮贩子 票贩子
个体户 运输户
台商 日商
交易者 发行者
军官 武官
指挥员 指挥官
总司令 司令员
将领 将军
副将 偏将
虎将 猛将
老总 长官
将官 校官
大元帅 元帅
司令员 参谋长
一百单八将 杨家将
将士 官兵
军人 武人
荣誉军人 荣军
边防军 戍边人
士兵 兵士
女兵 娘子军
士 军士
步兵 陆军
骑兵 轻骑
水兵 水师
侦察兵 侦察员
哨兵 卫兵
航空兵 空军
伞兵 空降兵
工兵 工程兵
号兵 司号员
警卫员 警卫
通信员 勤务兵
退伍兵 退伍军人
复员军人 转业军人
老兵 老红军
兵圣 战神
官军 官兵们
上士 中士
列兵 上等兵
铁道兵 炮兵
情报员 谍报员
敌特 敌探
译电员 分析员
警察 警
人民警察 民警
捕头 警长
侦探 暗探
看守 狱卒
行刑队 刽子手
路警 岗警
审判员 审判员
检察官 检察员
提案人 申诉人
律师 辩护律师
征稽 考稽
教师 老师
教官 教练
教养员 保育员
塾师 师傅
教授 副教授
博士 硕士
学生 生
门生 门下
高足 高徒
寄宿生 住读生
定向招生 委培生
男生 女生
小学生 中学生
理科生 文科生
技校生 师范生
学习者 学人
运动员 选手
种子 健将
前锋 中锋
二传手 主攻手
削球手 球手
裁判员 裁判
国际裁判 国家裁判
巡边员 记分员
医生 医师
国医 中医
良医 名医
太医 御医
世医 儒医
西医 牙医
主任医师 主治医师
助产士 接生员
护士 看护
作者 笔者
执笔人 主笔
译者 翻译
记者 新闻记者
新闻工作者 新闻官
媒体 传媒
编辑 编者
总编辑 总编
创意者 创意人
演员 艺人
明星 影星
女演员 坤角儿
歌手 歌姬
主角 角儿
配角 班底
名角 名伶
生角 生
老生 须生
旦角儿 旦
青衣 正旦
彩旦 丑婆子
丑角 小丑
花脸 净角
大花脸 大面
二花脸 武二花
演职员 演职人员
表演家 表演艺术家
舞者 舞星
知名演员 名演员
小生 娃娃生
老旦 武旦
笑星 童星
琴师 乐师
鼓师 鼓手
号手 吹鼓手
演奏者 演奏员
剧团人员 剧中人
编剧 剧作者
原作 改编
灯光 道具
剧务 检场
摄影 录音
文艺工作者 艺术工作者
模特 模特儿
阴阳家 阴阳生
魔法师 魔术师
巫师 巫神
女巫 巫婆
劳动者 生产者
无产者 无产阶级
实施者 执行者
就业者 从业者
马克思主义者 国际主义者
壮劳力 半劳动力
白领 蓝领
打工族 打工妹
上班族 工薪族
收入者 高收入者
奴隶 农奴
小市民 城市贫民
上访者 来访者
接访 受访者
投保人 股民
候选人 候选者
选民 选择者
跟随者 追随者
反驳者 反对者
抗议者 示威者
仆人 佣人
男仆 苍头
童仆 家童
女仆 仆妇
婢女 婢
奶妈 奶娘
奴才 小人
仆从 长随
侍从 扈从
随从 随员
封建主 领主
地主 二地主
东家 老爷
农奴主 奴隶主
士绅 绅士
豪绅 劣绅
资本家 资产阶级
老板 财东
店主 店家
经营者 纳税人
出资人 投资人
董事 股东
参展商 投资商
贷款人 收款人
班组长 包工头
实干家 生产经营者
皇帝 帝
女皇 女王
暴君 桀纣
摄政王 亲王
唐宗 宋祖
梁王 楚王
皇后 王后
妃子 贵妃
贵人 后宫
皇室 王室
太后 皇太后
太子 皇太子
王子 皇子
公主 郡主
王孙 金枝玉叶
王公 公爵
贵族 万户侯
权贵 显贵
太监 宦官
宫女 宫娥
女官 女史
官吏 臣子
大臣 重臣
芝麻官 知府
忠臣 忠良
奸臣 坏官
清官 青天
赃官 贪官
差役 公差
文官 武官
议员 常务委员
宰相 丞相
秀才 生员
状元 榜眼
幕宾 幕僚
门客 门下
使者 使节
务使 密使
领袖 元首
头领 头脑
控制者 操纵者
主席 总统
党魁 霸主
酋长 土司
阿拉法特 伊丽莎白
李瑞环 彭德怀
领导 负责人
领队 总指挥
监工 工头
部长 司长
省长 市长
厂长 校长
经理 襄理
会长 董事长
大使 公使
带班 领班
党支书 党委书记
支书 村官
部级 部长级
裁判长 议长
系主任 室主任
创建者 创立者
创业者 创业人
策划人 策划者
首倡者 首创者
倡导者 倡议者
主办人 主办者
经办人 经办人员
名人 名流
要人 要员
泰戈尔 爱迪生
艾森豪威尔 戴高乐
李时珍 白求恩
巴尔扎克 达尔文
考茨基 罗伯特
华罗庚 钱学森
孔子 孟子
齐白石 徐悲鸿
包公 项羽
隐士 逸民
小人物 老百姓
健康人 好人
病人 病家
植物人 瘫子
疯子 疯人
伤员 伤号
残废 残缺
跛子 瘸子
驼子 驼背
瞎子 盲人
哑巴 哑子
孕妇 妊妇
鳏寡孤独 孤寡
鳏夫 孤老
寡妇 孀妇
孤 孤儿
孤魂 孤鬼
光杆儿 光杆司令
单身汉 独身汉
富翁 财主
阔少 大少爷
债主 债权人
吸血鬼 寄生虫
穷人 穷鬼
乞丐 乞
债户 负债人
帮扶户 保户
闲杂人员 无聊者
幸运儿 福人
红人 宠儿
可怜虫 小可怜儿
无辜 俎上肉
出气筒 受气包
泪人儿 弃儿
瓮中之鳖 网中之鱼
众矢之的 过街老鼠
屈死鬼 冤魂
被害人 受害人
当事人 当事者
求援者 上当者
冤大头 大头
替身 替死鬼
祸胎 祸根
火主 火头
死难者 罹难者
难民 难胞
灾民 流民
逃亡者 逃犯
流浪汉 游民
败兵 乱兵
俘虏 俘
人质 质子
违反者 违者
不合格者 不符合条件者
输家 失败者
旅客 客人
过路人 过客
游人 游客
乘客 司乘人员
参观者 观赏者
亲戚 亲属
外戚 远房
血亲 宗亲
姻亲 亲家
近亲 内亲
旁系亲属 直系亲属
亲家公 亲家母
眷属 亲属
女眷 内眷
侨眷 侨属
烈属 军属
曾祖 曾祖父
曾祖母 老奶奶
祖父 太爷
祖母 奶奶
叔祖 叔公
叔祖母 叔婆
外祖父 外公
外祖母 外婆
父 父亲
令尊 老太爷
继父 后爹
养父 义父
先父 先人
母 母亲
令堂 老太太
家母 老母
庶母 姨娘
继母 后母
养母 义母
父母 双亲
保护者 保护人
父子 爷儿俩
父女 母女
伯父 伯
伯母 大妈
叔父 叔
叔母 婶
姑父 姑夫
姑母 姑
三姑六婆 姑嫂
姨父 姨夫
姨母 姨
舅父 舅
舅母 舅妈
公婆 姑舅
公公 公
婆婆 婆母
岳父 岳丈
岳母 丈母
夫 丈夫
老伴 老头子
郎 郎君
妻 妻子
内人 拙荆
嫂夫人 尊夫人
发妻 元配
填房 继配
妾 小
夫妻 夫妇
鸳鸯 鸾凤
配偶 偶
兄 兄长
长兄 大哥
家兄 胞兄
弟 弟弟
堂哥哥 堂兄
师哥 师兄
兄弟 弟兄
同胞 亲兄弟
表兄弟 老表
姐 阿姐
妹 阿妹
姐妹 姊妹
表姐妹 表姐
堂姐 堂妹
连襟 连袂
嫂子 嫂
弟妇 弟妹
姐夫 姊夫
妹夫 妹婿
妻舅 舅子
内兄 大舅子
内弟 小舅子
姑 姑娘
大姑 大姑子
小姑 小姑子
大姨 大姨子
子 儿子
养子 义子
继子 继嗣
小儿 犬子
令郎 少爷
大儿子 小儿子
女 女儿
令爱 千金
养女 义女
长女 次女
子女 儿女
心肝 宝贝
独子 独生子
双胞胎 孪生子
混血儿 混血种
私生子 野种
媳妇 媳
女婿 婿
佳婿 乘龙快婿
赘婿 招女婿
姑老爷 姑爷
侄 侄子
侄女 表侄女
甥 外甥
甥女 外甥女
孙 孙子
曾孙 重孙
曾孙女 重孙女
外孙 外孙子
玄孙 侄孙
鼻祖 始祖
创始人 开山
前人 先驱
引进者 推荐者
今人 时人
一代人 当代人
后人 后代
古人 原人
直立人 龙门汤人
祖宗 祖上
曾祖 高祖
长辈 长上
父辈 大伯
大妈 大娘
侪 同龄人
晚辈 晚
子孙 子嗣
受益者 受益人
朋友 友人
好友 挚友
旧交 旧友
新交 新知
难友 患难之交
益友 诤友
世交 世谊
诸亲好友 亲友
教友 校友
点头之交 一面之交
畏友 酒肉朋友
战友 盟友
送礼者 受礼者
恩人 恩公
仇人 敌人
死敌 死对头
外敌 外寇
残敌 穷寇
夙仇 夙敌
公敌 政敌
对手 对方
自己人 知心人
外人 局外人
邻居 邻人
一伙 一伙子
一路货 狐群狗党
参加者 入会者
同伴 同伙
伙计 搭档
同道 同调
合作者 合作方
游伴 舞伴
本方 甲方
把兄弟 拜把兄弟
同学 同窗
学长 学兄
老三届 应届
同事 同人
同僚 袍泽
主人 主
主妇 管家婆
寄主 宿主
客人 宾客
贵宾 上宾
男宾 男客
稀客 生客
国宾 外宾
宾主 主客
接受方 接受者
顾客 主顾
购买者 买客
消费群 购买群
观众 听众
闻者 听者
读者 读者群
就餐者 购房者
房客 回头客
散客 散户
租用者 使用者
成员 分子
人马 队伍
党徒 党羽
私党 死党
党员 团员
社员 盟员
余党 爪子
工作队员 会议员
集训队员 登山队员
申请者 申请人
上级 上司
下级 部下
平级 同级
助手 副手
参谋 顾问
靠山 后台
师傅 师父
师母 师娘
徒弟 徒
物主 主人
屋主 房东
货主 户主
收信人 接收者
寄卡人 寄信人
主持人 主席
主婚人 主考人
司仪 打理
与会者 到会者
演讲者 讲话者
专人 专差
特派员 全权代表
钦差大臣 钦差
代表 代办
代言人 发言人
人民代表 人大代表
见证人 见证
保证人 保人
中间人 中人
调解人 调人
仲裁人 鉴定者
证婚 证婚人
被告人 被上诉人
举报者 举报人
介绍人 引线人
媒人 媒介
男傧相 伴郎
伴娘 喜娘
中介 中介人
媒质 纽带
新郎 新人
新娘 新娘子
情人 情侣
男朋友 情郎
女朋友 女友
姘头 相好
情夫 姘夫
情妇 姘妇
王八 乌龟
英雄 豪杰
有志者 有志之士
武者 堂主
剑客 剑侠
李逵 武松
硬汉 硬骨头
烈士 先烈
勇士 武士
侠客 侠
懦夫 胆小鬼
懒汉 懒虫
好人 明人
志愿者 献血者
君子 高人
圣贤 圣
先贤 先哲
元老 长者
楚王 燕王
坏人 歹人
小人 小丑
土棍 地痞
恶霸 霸
豪强 豪门
豺狼 魔鬼
暴徒 强暴
奸邪 奸人
野心家 奸雄
独裁者 独夫
军阀 学阀
党棍 学棍
渔霸 水霸
老好人 好人
凶人 凶神
泼妇 悍妇
伪君子 假道学
滑头 油子
吝啬鬼 守财奴
市侩 势利眼
造假者 弄虚作假者
孝子 孝子贤孙
逆子 孽障
贞妇 烈女
荡妇 淫妇
骚货 妖精
浪子 败家子
色鬼 色情狂
老顽固 死顽固
学究 腐儒
急性子 直性子
炮筒子 大炮
慢郎中 慢性子
话匣子 碎嘴子
应声虫 尾巴
馋嘴 馋猫子
夜游神 夜猫子
怪人 怪物
知识分子 文化人
文弱书生 白面书生
学者 鸿儒
作家 大作家
诗人 词人
诗仙 诗圣
画家 画师
寒士 措大
书呆子 老夫子
文痞 文侩
雅人 文抄公
杜甫 李白
徐悲鸿 巴金
文盲 睁眼瞎子
大老粗 土包子
内行 行家
专家 专门家
识途老马 宿将
革命家 政治家
研究员 副研究员
发明人 发明者
设计家 设计师
制造家 制造者
高级工程师 工程师
经济师 药剂师
棋王 棋圣
收藏者 藏书家
神炮手 神枪手
骨干 基干
外行 门外汉
生手 新手
俊杰 豪杰
人杰 翘楚
人才 材
女将 巾帼英雄
能手 能人
多面手 通才
新秀 后起之秀
庸中佼佼 强者
高才生 七步之才
歌王 球王
地灵人杰 德才兼备
聪明人 智者
明眼人 有识之士
机灵鬼 猴儿
前茅 优胜者
笨伯 笨蛋
饭桶 草包
傻子 傻瓜
庸人 庸才
绣花枕头 纸老虎
半瓶醋 二百五
浑蛋 混蛋
活宝 宝贝
糊涂虫 糊涂蛋
模范 标兵
劳模 劳动模范
冠军 亚军
排头兵 三好生
先锋 急先锋
旗手 红旗手
功臣 元勋
爱好者 发烧友
棋迷 球迷
追星族 崇拜者
教徒 信徒
圣徒 新教徒
八大山人 忠清南道人
佛 菩萨
沙门 僧尼
僧徒 僧侣
尼姑 尼
禅师 活佛
住持 方丈
施主 檀越
道教徒 道徒
道士 法师
神人 真人
活佛 喇嘛
伊斯兰教徒 回教徒
天主教徒 天主
枢机主教 红衣主教
神甫 神父
教皇 大主教
耶稣教徒 基督徒
牧师 传教士
大力神 守护神
反动派 反革命
反派 反面人物
匪帮 匪徒
刽子手 屠夫
战争贩子 战争狂人
叛徒 内奸
卖国贼 国贼
奸贼 贼
儿皇帝 傀儡
叛兵 逃兵
罪犯 罪人
死囚 死刑犯
凶犯 凶手
主犯 要犯
从犯 同谋犯
逃犯 在逃犯
教唆犯 教唆者
窝主 窝家
嫌疑人 疑凶
战犯 政治犯
破坏者 污染者
肇事人 肇事者
不法之徒 犯罪分子
违纪者 违章者
强盗 盗
匪首 盗魁
草寇 绿林
殖民者 殖民主义者
绑匪 股匪
马贼 海盗
外寇 海寇
袭击者 劫机者
残匪 车匪路霸
窃贼 贼
惯贼 惯窃
盗码者 黑客
剽窃者 盗卖者
侠盗 家贼
入侵者 征服者
流氓 痞子
二流子 浪子
骗子 拐子
江湖骗子 人贩子
投机商 奸商
毒贩 毒枭
走狗 狗腿子
赌徒 赌棍
酒徒 大户
烟鬼 隐君子
妓女 妓
艺妓 摇钱树
暗娼 私娼
花瓶 交际花
男妓 相公
鸨母 鸨儿
龟奴 乌龟
嫖客 孤老
物 实物
物质 质
占有物 专有物
电介质 电解质
光密媒质 光疏媒质
社会存在物 自然存在物
有机物 无机物
生成物 生产物
出土文物 文物
残留物 遗弃物
硫化物 氯化物
金属 非金属
物体 体
整体 通体
晶体 晶
水晶体 晶状体
绝缘体 非导体
机体 有机体
等价物 同系物
附属物 附着物
样片 抽样
刚体 磁体
固体 液体
单晶体 多晶体
导体 半导体
玻璃体 弹性体
落体 射流
硝酸 王水
醋酸 乙酸
磷酸 盐酸
一元酸 二元酸
强酸 弱酸
烧碱 火碱
苛性碱 生物碱
碳酸钠 大苏打
硫酸铜 胆矾
明矾 白矾　
中性盐 正盐
磷酸钙 磷酸铵
硅 单晶硅
硫磺 硫
磷 赤磷
氧化铝 氧化铁
氯化铵 硝酸铵
双氧水 水碱
蛋白胨 蛋白质
烷烃 甲烷
烯 聚氯乙烯
苯 甲苯
甲醇 丙醇
醚 甲醚
酚 甲酚
醛 甲醛
丙酮 盐酸安非拉酮
酯 聚碳酸酯
合成树脂 环氧树脂
酶 胃蛋白酶
松香 松脂
溶菌素 自力霉素
甘油 硝化甘油
胺 金刚烷胺
血红蛋白 纤维蛋白
氢氧基 巯
有机磷 碘仿
正离子 阳离子
等离子 等离子体
变子 反质子
点电荷 电荷
原子 亚原子
价电子 电子对
乙种粒子 甲种粒子
生物 底栖生物
动物 众生
温血动物 常温动物
冷血动物 变温动物
节肢动物 甲壳动物
线形动物 圆形动物
植物 植被
阳性植物 喜光植物
作物 农作物
大秋作物 晚秋作物
越冬作物 过冬作物
青苗 青
微生物 菌物
动植物 飞潜动植
动物 植物
原生动物 腔肠动物
蕨类植物 草本植物
夏熟作物 大田作物
父本 母本
物品 品
必需品 用品
